ts,city,target,local_time,hour,bin,bid,ask,spread,vol,model_p
2026-09-25T11:47:51Z,lucknow,2026-09-25,2026-09-25 17:17,17,19°C or below,0.0,0.001,0.001,326,
2026-09-25T11:47:51Z,lucknow,2026-09-25,2026-09-25 17:17,17,20°C,0.0,0.001,0.001,482,
2026-09-25T11:47:51Z,lucknow,2026-09-25,2026-09-25 17:17,17,21°C,0.0,0.001,0.001,95,
2026-09-25T11:47:51Z,lucknow,2026-09-25,2026-09-25 17:17,17,22°C,0.0,0.001,0.001,729,
2026-09-25T11:47:51Z,lucknow,2026-09-25,2026-09-25 17:17,17,23°C,0.0,0.001,0.001,10582,
2026-09-25T11:47:51Z,lucknow,2026-09-25,2026-09-25 17:17,17,24°C,1.0,0.998,-0.002,7635,0.991
2026-09-25T11:47:51Z,lucknow,2026-09-25,2026-09-25 17:17,17,25°C,0.0,0.004,0.004,3996,0.001
2026-09-25T11:47:51Z,lucknow,2026-09-25,2026-09-25 17:17,17,26°C,0.0,0.001,0.001,3208,
2026-09-25T11:47:51Z,lucknow,2026-09-25,2026-09-25 17:17,17,27°C,0.0,0.001,0.001,1249,
2026-09-25T11:47:51Z,lucknow,2026-09-25,2026-09-25 17:17,17,28°C,0.0,0.001,0.001,1415,
2026-09-25T11:47:51Z,lucknow,2026-09-25,2026-09-25 17:17,17,29°C or higher,0.0,0.001,0.001,1842,
2026-09-25T11:48:22Z,lucknow,2026-09-25,2026-09-25 17:18,17,19°C or below,0.0,0.001,0.001,326,
2026-09-25T11:48:22Z,lucknow,2026-09-25,2026-09-25 17:18,17,20°C,0.0,0.001,0.001,482,
2026-09-25T11:48:22Z,lucknow,2026-09-25,2026-09-25 17:18,17,21°C,0.0,0.001,0.001,95,
2026-09-25T11:48:22Z,lucknow,2026-09-25,2026-09-25 17:18,17,22°C,0.0,0.001,0.001,729,
2026-09-25T11:48:22Z,lucknow,2026-09-25,2026-09-25 17:18,17,23°C,0.0,0.001,0.001,10582,
2026-09-25T11:48:22Z,lucknow,2026-09-25,2026-09-25 17:18,17,24°C,1.0,0.998,-0.002,7635,0.991
