b_best_match,b_ecmwf_aifs025_single,b_ecmwf_ifs025,b_gem_seamless,b_gfs_seamless,b_icon_seamless,b_jma_seamless,b_meteofrance_seamless,b_ncep_hrrr_conus,b_ncep_nbm_conus,b_ukmo_seamless,city,date,icao,m_best_match,m_ecmwf_aifs025_single,m_ecmwf_ifs025,m_gem_seamless,m_gfs_seamless,m_icon_seamless,m_jma_seamless,m_meteofrance_seamless,m_ncep_hrrr_conus,m_ncep_nbm_conus,m_ukmo_seamless,model_spread_c,mu_c,n_models,obs_c,rmse_n,sigma_c,tz,unit
0.72,-3.48,0.12,-0.4,0.72,-0.4,-0.06,-1.4,0.72,-1.16,0.52,nyc,2026-07-15,KLGA,36.4,31.7,37.0,34.7,36.4,35.9,34.7,36.0,36.4,35.1,36.3,1.402,35.941,11,36.67,0,1.2,America/New_York,F
0.555,-3.728,0.155,-0.662,0.555,-0.462,-0.378,-1.278,0.555,-1.228,0.372,nyc,2026-07-16,KLGA,31.9,28.4,31.6,32.0,31.9,31.7,32.7,32.4,31.9,32.0,33.9,1.253,32.328,11,31.11,0,1.2,America/New_York,F
0.589,-3.583,0.203,-0.44,0.589,-0.311,-0.097,-0.911,0.589,-0.926,0.717,nyc,2026-07-17,KLGA,31.6,26.5,31.4,29.9,31.6,30.0,30.0,30.6,31.6,29.1,31.1,1.453,30.58,11,30.56,0,1.2,America/New_York,F
0.645,-3.643,0.282,-0.467,0.645,-0.343,-0.155,-0.793,0.645,-0.992,0.695,nyc,2026-07-18,KLGA,26.4,24.8,26.5,25.7,26.4,26.8,25.6,27.1,26.4,25.9,27.6,0.733,26.585,11,26.67,8,0.713,America/New_York,F
0.543,-3.446,0.232,-0.523,0.543,-0.29,-0.257,-0.657,0.543,-0.968,0.721,nyc,2026-07-19,KLGA,27.0,25.7,26.9,26.9,27.0,27.9,26.8,26.6,27.0,25.9,27.8,0.63,27.079,11,26.67,9,0.672,America/New_York,F
0.522,-3.198,0.232,-0.448,0.522,-0.138,-0.218,-0.598,0.522,-0.948,0.762,nyc,2026-07-20,KLGA,27.4,24.8,27.9,27.3,27.4,27.1,26.7,27.0,27.4,26.9,27.5,0.773,27.37,11,27.78,10,0.651,America/New_York,F
0.44,-3.178,0.222,-0.451,0.44,-0.187,-0.296,-0.615,0.44,-0.942,0.667,nyc,2026-07-21,KLGA,28.6,25.1,25.3,26.1,28.6,27.2,26.3,25.6,28.6,25.5,25.3,1.366,26.952,11,27.78,11,0.633,America/New_York,F
0.472,-3.137,-0.003,-0.553,0.472,-0.22,-0.395,-0.745,0.472,-1.053,0.405,nyc,2026-07-22,KLGA,31.5,27.8,32.1,29.9,31.5,31.4,30.0,29.2,31.5,28.4,30.3,1.351,30.607,11,31.11,12,0.651,America/New_York,F
0.465,-3.15,0.073,-0.604,0.465,-0.181,-0.45,-0.835,0.465,-1.181,0.312,nyc,2026-07-23,KLGA,28.7,24.9,27.6,26.5,28.7,27.2,25.8,26.6,28.7,26.2,27.5,1.208,27.627,11,27.22,13,0.641,America/New_York,F
0.538,-3.091,0.095,-0.612,0.538,-0.169,-0.519,-0.819,0.538,-1.169,0.309,nyc,2026-07-24,KLGA,28.7,25.3,28.7,27.7,28.7,28.2,27.3,27.8,28.7,27.2,28.5,0.985,28.299,11,27.78,14,0.627,America/New_York,F
0.547,-3.017,0.247,-0.553,0.547,-0.039,-0.496,-0.703,0.547,-1.067,0.39,nyc,2026-07-25,KLGA,27.6,24.9,28.4,26.8,27.6,27.8,27.1,27.1,27.6,26.5,27.9,0.891,27.511,11,26.11,14,0.593,America/New_York,F
