city,date,bin,unit,won,stale_price,model_p,ex_px,ex_notional,n_buy,first_px,secs,status
amsterdam,2026-07-04,23°C,C,1,0.056,0.9667,,,0,,,no_fill
amsterdam,2026-07-08,20°C,C,0,0.0725,0.9333,0.342,12.08,1,0.342,127,too_expensive
amsterdam,2026-07-09,24°C,C,1,0.205,0.9,,,0,,,no_fill
amsterdam,2026-07-11,25°C,C,1,0.195,0.9,0.3997,12.0,2,0.4,533,too_expensive
amsterdam,2026-08-02,26°C,C,1,0.21,0.9,0.68,26.42,1,0.68,278,too_expensive
amsterdam,2026-08-09,30°C,C,1,0.175,0.9333,0.97,39.19,1,0.97,7,too_expensive
amsterdam,2026-08-17,21°C,C,1,0.235,0.9333,,,0,,,no_fill
amsterdam,2026-09-11,21°C,C,1,0.195,1.0,0.97,37.58,2,0.96,21,too_expensive
ankara,2026-07-03,31°C,C,1,0.205,1.0,0.41,16.32,2,0.4067,14,too_expensive
ankara,2026-07-16,29°C,C,0,0.125,0.9667,0.16,12.72,5,0.21,587,traded
ankara,2026-07-20,33°C,C,1,0.11,0.9333,0.5276,16.49,3,0.49,430,too_expensive
ankara,2026-07-24,26°C,C,1,0.0855,0.9333,0.699,13.41,2,0.695,7,too_expensive
ankara,2026-07-25,17°C,C,1,0.084,0.9333,,,0,,,no_fill
ankara,2026-08-24,33°C,C,1,0.15,1.0,0.99,20.0,1,0.99,49,too_expensive
ankara,2026-08-30,26°C,C,1,0.235,1.0,0.95,47.25,2,0.98,223,too_expensive
ankara,2026-08-31,29°C,C,1,0.24,1.0,0.99,173.19,2,0.9802,198,too_expensive
ankara,2026-09-04,29°C,C,1,0.07,1.0,,,0,,,no_fill
ankara,2026-09-07,24°C,C,1,0.18,0.9667,0.64,14.64,4,0.6703,807,too_expensive
ankara,2026-09-08,23°C,C,1,0.18,0.9667,0.34,13.78,4,0.31,360,too_expensive
ankara,2026-09-15,24°C,C,0,0.055,0.9667,,,0,,,no_fill
ankara,2026-09-22,25°C,C,0,0.14,0.9667,,,0,,,no_fill
atlanta,2026-07-16,92-93°F,F,1,0.088,0.9333,0.975,14.97,3,0.977,572,too_expensive
atlanta,2026-07-29,88-89°F,F,1,0.17,0.9333,,,0,,,no_fill
atlanta,2026-08-01,86-87°F,F,1,0.235,0.9333,0.38,14.39,5,0.26,273,too_expensive
atlanta,2026-08-16,94-95°F,F,1,0.14,0.9333,0.5859,19.33,2,0.59,222,too_expensive
atlanta,2026-09-01,92-93°F,F,1,0.05,0.9333,0.6545,69.18,1,0.6545,3,too_expensive
atlanta,2026-09-09,88-89°F,F,1,0.23,0.9333,0.37,12.9,3,0.35,592,too_expensive
atlanta,2026-09-12,84-85°F,F,1,0.235,1.0,,,0,,,no_fill
atlanta,2026-09-17,88-89°F,F,1,0.17,0.9333,,,0,,,no_fill
austin,2026-07-05,94-95°F,F,1,0.146,1.0,0.6613,17.3,2,0.55,143,too_expensive
austin,2026-07-06,98-99°F,F,1,0.105,1.0,,,0,,,no_fill
austin,2026-07-25,94-95°F,F,0,0.22,0.9,,,0,,,no_fill
austin,2026-07-30,100-101°F,F,1,0.195,0.9667,0.99,15.0,1,0.99,51,too_expensive
austin,2026-08-03,102-103°F,F,1,0.135,0.9667,,,0,,,no_fill
austin,2026-08-19,100-101°F,F,0,0.145,1.0,0.48,19.12,3,0.6,583,too_expensive
austin,2026-09-04,94-95°F,F,1,0.125,0.9,,,0,,,no_fill
austin,2026-09-05,100-101°F,F,1,0.225,0.9667,,,0,,,no_fill
austin,2026-09-07,100-101°F,F,1,0.2,0.9,0.6889,38.97,2,0.3813,618,too_expensive
beijing,2026-07-09,34°C,C,0,0.1385,0.9667,,,0,,,no_fill
beijing,2026-07-11,29°C,C,1,0.21,0.9667,0.6134,21.12,4,0.46,64,too_expensive
beijing,2026-07-19,33°C,C,1,0.135,0.9333,0.978,18.4,1,0.978,279,too_expensive
beijing,2026-07-31,36°C,C,1,0.118,0.9333,,,0,,,no_fill
beijing,2026-08-04,35°C,C,1,0.15,0.9333,0.7601,16.44,2,0.74,6,too_expensive
beijing,2026-08-16,28°C,C,1,0.22,0.9667,0.7447,26.55,3,0.7301,15,too_expensive
beijing,2026-08-29,31°C,C,1,0.0395,1.0,0.92,22.54,2,0.92,31,too_expensive
beijing,2026-09-10,31°C,C,1,0.145,0.9667,0.4089,32.8,1,0.4089,34,too_expensive
beijing,2026-09-12,28°C,C,1,0.195,0.9667,0.8882,50.73,1,0.8882,124,too_expensive
beijing,2026-09-16,30°C,C,0,0.115,0.9667,,,0,,,no_fill
beijing,2026-09-20,29°C,C,0,0.0285,0.9667,0.0649,29.1,1,0.0649,718,traded
buenos-aires,2026-07-02,9°C,C,1,0.15,1.0,0.999,24.99,1,0.999,4,too_expensive
buenos-aires,2026-07-10,14°C,C,1,0.1,1.0,0.3879,91.43,1,0.3879,245,too_expensive
buenos-aires,2026-07-13,9°C,C,1,0.087,1.0,0.768,19.94,3,0.699,251,too_expensive
buenos-aires,2026-07-16,24°C,C,1,0.2325,0.9667,0.7324,68.29,1,0.7324,82,too_expensive
buenos-aires,2026-07-20,15°C,C,1,0.076,0.9667,0.7011,76.72,1,0.7011,61,too_expensive
buenos-aires,2026-07-31,23°C,C,0,0.075,0.9667,0.6344,19.98,1,0.6344,54,too_expensive
buenos-aires,2026-08-18,11°C,C,1,0.028,0.9333,0.4695,25.0,3,0.3,249,too_expensive
buenos-aires,2026-08-21,13°C,C,1,0.165,0.9333,0.8475,656.07,1,0.8475,249,too_expensive
buenos-aires,2026-09-06,12°C,C,1,0.03,0.9667,0.98,60.0,1,0.98,247,too_expensive
buenos-aires,2026-09-19,25°C,C,1,0.12,1.0,0.9727,104.9,2,0.97,218,too_expensive
busan,2026-07-02,27°C,C,1,0.11,0.9333,0.8051,35.0,1,0.8051,101,too_expensive
busan,2026-07-16,35°C,C,1,0.121,1.0,0.997,77.28,2,0.995,203,too_expensive
busan,2026-07-20,32°C,C,1,0.09,1.0,0.98,71.68,4,0.96,66,too_expensive
busan,2026-07-29,39°C,C,1,0.059,1.0,0.7737,19.0,1,0.7737,2,too_expensive
busan,2026-09-04,29°C,C,1,0.165,0.9667,0.99,130.33,1,0.99,7,too_expensive
busan,2026-09-18,27°C,C,1,0.046,1.0,0.966,28.01,2,0.966,49,too_expensive
cape-town,2026-07-17,20°C,C,1,0.053,1.0,0.999,44.96,2,0.999,381,too_expensive
cape-town,2026-08-12,23°C,C,1,0.095,1.0,0.85,17.28,2,0.85,12,too_expensive
cape-town,2026-09-05,25°C,C,1,0.175,0.9667,,,0,,,no_fill
cape-town,2026-09-12,19°C,C,1,0.105,0.9667,0.84,16.0,2,0.84,171,too_expensive
cape-town,2026-09-14,18°C,C,1,0.095,1.0,0.4301,39.96,1,0.4301,3,too_expensive
chengdu,2026-07-24,38°C,C,0,0.175,0.9333,0.3325,17.68,6,0.13,229,too_expensive
chengdu,2026-07-25,40°C,C,0,0.12,0.9,0.68,18.3,4,0.65,4,too_expensive
chengdu,2026-07-29,34°C or higher,C,1,0.19,1.0,0.9535,692.42,4,0.937,42,too_expensive
chengdu,2026-08-31,34°C,C,0,0.14,0.9,,,0,,,no_fill
chicago,2026-07-17,92-93°F,F,1,0.0575,1.0,,,0,,,no_fill
chongqing,2026-07-04,34°C,C,1,0.1875,0.9333,0.69,12.37,2,0.68,14,too_expensive
chongqing,2026-07-06,37°C,C,1,0.18,0.9333,0.8247,12.94,2,0.8104,43,too_expensive
chongqing,2026-07-28,36°C,C,1,0.1,0.9,0.8205,20.9,2,0.48,36,too_expensive
chongqing,2026-07-29,39°C,C,1,0.0325,0.9,0.5306,63.47,2,0.1443,41,too_expensive
chongqing,2026-08-05,35°C,C,1,0.095,0.9667,0.8285,27.94,2,0.81,36,too_expensive
chongqing,2026-08-11,35°C,C,1,0.145,0.9333,0.81,15.74,3,0.86,181,too_expensive
chongqing,2026-08-20,32°C,C,0,0.145,0.9667,0.65,21.75,1,0.65,12,too_expensive
dallas,2026-07-12,98-99°F,F,1,0.053,0.9667,0.198,12.45,5,0.221,992,traded
dallas,2026-07-13,92-93°F,F,1,0.0305,0.9667,0.988,15.0,1,0.988,580,too_expensive
dallas,2026-07-20,102-103°F,F,1,0.225,0.9667,0.9342,200.0,1,0.9342,202,too_expensive
dallas,2026-07-28,98-99°F,F,1,0.175,0.9333,0.6531,52.0,2,0.61,95,too_expensive
dallas,2026-07-31,100-101°F,F,0,0.175,0.9333,0.15,12.41,8,0.24,365,traded
dallas,2026-08-07,98-99°F,F,0,0.025,0.9333,,,0,,,no_fill
dallas,2026-08-15,98-99°F,F,0,0.035,0.9,,,0,,,no_fill
dallas,2026-08-25,100-101°F,F,1,0.2365,1.0,0.4574,23.78,1,0.4574,70,too_expensive
dallas,2026-08-26,100-101°F,F,1,0.17,1.0,,,0,,,no_fill
dallas,2026-09-02,100-101°F,F,1,0.105,1.0,0.99,15.0,1,0.99,249,too_expensive
dallas,2026-09-15,98-99°F,F,1,0.195,0.9,0.41,16.67,5,0.34,1089,too_expensive
dallas,2026-09-17,96-97°F,F,1,0.14,0.9,0.4442,34.49,1,0.4442,4,too_expensive
denver,2026-07-02,88-89°F,F,0,0.2485,1.0,0.9626,150.0,1,0.9626,22,too_expensive
denver,2026-07-18,94-95°F,F,1,0.24,1.0,0.56,22.4,1,0.56,772,too_expensive
denver,2026-07-21,96-97°F,F,1,0.25,1.0,,,0,,,no_fill
denver,2026-07-27,92-93°F,F,1,0.2,1.0,0.7029,74.77,7,0.05,526,too_expensive
denver,2026-08-10,96-97°F,F,1,0.165,1.0,0.989,54.4,2,0.989,966,too_expensive
denver,2026-08-13,80-81°F,F,1,0.135,1.0,0.6934,14.73,6,0.08,777,too_expensive
denver,2026-08-21,100-101°F,F,1,0.074,1.0,0.3704,26.33,3,0.064,585,too_expensive
denver,2026-08-25,82-83°F,F,1,0.209,1.0,0.25,13.34,4,0.25,87,traded
denver,2026-08-29,92-93°F,F,1,0.09,1.0,0.8039,24.67,2,0.08,345,too_expensive
denver,2026-09-01,86-87°F,F,1,0.185,1.0,0.58,12.78,2,0.91,249,too_expensive
denver,2026-09-05,94-95°F,F,1,0.22,1.0,0.95,56.65,2,0.95,171,too_expensive
denver,2026-09-07,90-91°F,F,1,0.245,1.0,0.94,17.63,3,0.94,340,too_expensive
guangzhou,2026-08-26,30°C,C,0,0.185,0.9667,,,0,,,no_fill
guangzhou,2026-09-05,35°C,C,1,0.15,0.9667,0.6,30.0,1,0.6,36,too_expensive
helsinki,2026-09-01,20°C,C,1,0.14,0.9333,0.4132,17.9,1,0.4132,49,too_expensive
helsinki,2026-09-14,17°C,C,1,0.195,0.9333,,,0,,,no_fill
helsinki,2026-09-18,17°C,C,1,0.05,0.9667,0.57,16.56,2,0.4167,1173,too_expensive
houston,2026-07-05,98-99°F,F,1,0.07,0.9667,0.94,20.79,3,0.94,470,too_expensive
houston,2026-07-10,92-93°F,F,1,0.07,0.9667,0.07,12.33,12,0.09,464,traded
houston,2026-07-11,88-89°F,F,1,0.21,0.9667,0.93,14.63,3,0.91,1151,too_expensive
houston,2026-07-15,86-87°F,F,1,0.134,0.9333,,,0,,,no_fill
houston,2026-07-18,92-93°F,F,1,0.2,0.9667,0.3762,27.72,1,0.3762,390,too_expensive
houston,2026-07-20,94-95°F,F,1,0.1875,0.9667,,,0,,,no_fill
houston,2026-07-29,94-95°F,F,1,0.175,0.9667,0.5392,17.95,3,0.61,146,too_expensive
houston,2026-08-02,98-99°F,F,1,0.175,1.0,0.963,38.91,1,0.963,11,too_expensive
houston,2026-09-02,94-95°F,F,1,0.165,1.0,,,0,,,no_fill
istanbul,2026-08-18,32°C,C,1,0.025,1.0,,,0,,,no_fill
