logged_at,city,target,lead_days,unit,station,bin_top1,p_top1,bin2,p2,coverage_p,strategy,vb_bin,vb_edge,vb_price,vb_kelly,mean_c,sigma_c,history_top1,history_n,resolved_bin,hit1,hit2,vb_win
2026-09-23T18:00,nyc,2026-09-23,0,F,LaGuardia Airport,70-71°F,1.0,68-69°F,0.0,1.0,top-1,70-71°F,0.0055,0.9945,1.0,21.16,0.4,,,,,,
2026-09-23T18:00,nyc,2026-09-24,1,F,LaGuardia Airport,66-67°F,0.3441,64-65°F,0.2942,0.6383,รอ,64-65°F,0.1542,0.14,0.179,19.26,0.4,,,,,,
2026-09-23T23:00,london,2026-09-23,0,C,London City Airport,23°C,1.0,22°C,0.0,1.0,top-1,23°C,0.0005,0.9995,1.0,23.08,0.4,,,,,,
2026-09-23T23:00,london,2026-09-24,1,C,London City Airport,22°C,0.5002,21°C,0.2843,0.7845,top-2,21°C,0.1093,0.175,0.132,21.72,0.4,,,,,,
2026-09-23T18:00,miami,2026-09-23,0,F,Miami Intl Airport,82-83°F,1.0,80-81°F,0.0,1.0,top-1,82-83°F,0.015,0.985,1.0,28.03,0.4,,,,,,
2026-09-23T18:00,miami,2026-09-24,1,F,Miami Intl Airport,88-89°F,0.369,90-91°F,0.1899,0.5589,รอ,86-87°F,0.1079,0.06,0.115,31.68,0.4,,,,,,
2026-09-24T01:00,tel-aviv,2026-09-24,0,C,Ben Gurion International Airport,30°C,0.4507,31°C,0.2589,0.7096,รอ,28°C,0.133,0.0025,0.133,29.84,0.4,,,,,,
2026-09-24T01:00,tel-aviv,2026-09-25,1,C,Ben Gurion International Airport,30°C,0.3591,29°C,0.2483,0.6074,รอ,29°C,0.1733,0.075,0.187,29.24,0.4,,,,,,
2026-09-24T00:00,madrid,2026-09-24,0,C,Adolfo Suárez Madrid-Barajas Airport,34°C,0.4854,35°C,0.255,0.7405,รอ,33°C,0.0886,0.055,0.094,33.91,0.4,,,,,,
2026-09-24T00:00,madrid,2026-09-25,1,C,Adolfo Suárez Madrid-Barajas Airport,35°C,0.5488,34°C,0.2203,0.7691,top-2,34°C,0.0953,0.125,0.109,34.7,0.4,,,,,,
2026-09-24T00:01,paris,2026-09-24,0,C,Paris-Le Bourget Airport,24°C,0.2933,23°C,0.2607,0.554,รอ,23°C,0.1407,0.12,0.16,24.0,0.4,,,,,,
2026-09-24T00:01,paris,2026-09-25,1,C,Paris-Le Bourget Airport,26°C,0.3044,27°C,0.2822,0.5866,รอ,26°C,0.2344,0.07,0.252,26.92,0.4,,,,,,
2026-09-24T07:01,seoul,2026-09-24,0,C,Incheon Intl Airport,25°C,0.3539,26°C,0.323,0.6769,รอ,24°C,0.0645,0.05,0.068,25.64,0.4,,,,,,
2026-09-24T07:01,seoul,2026-09-25,1,C,Incheon Intl Airport,27°C,0.372,26°C,0.3417,0.7137,รอ,27°C,0.302,0.07,0.325,26.27,0.4,,,,,,
