city,date,side,tier,bin,entry,model_p,stake,won,pnl
chengdu,2026-07-01,NO,provable,31°C,0.445,0.0,100.0,1,124.7191
london,2026-07-01,NO,provable,25°C,0.45,0.0,100.0,1,122.2222
qingdao,2026-07-01,NO,provable,28°C,0.195,0.0,100.0,1,412.8205
qingdao,2026-07-01,YES,secondary,29°C,0.165,1.0,100.0,1,506.0606
san-francisco,2026-07-01,NO,provable,68-69°F,0.355,0.0,100.0,1,181.6901
seattle,2026-07-01,YES,main,62-63°F,0.0835,0.9333,100.0,1,1097.6048
warsaw,2026-07-01,NO,provable,32°C,0.36,0.0,100.0,1,177.7778
atlanta,2026-07-02,NO,provable,96-97°F,0.365,0.0,100.0,1,173.9726
buenos-aires,2026-07-02,NO,provable,8°C,0.105,0.0,100.0,1,852.381
buenos-aires,2026-07-02,YES,secondary,9°C,0.15,1.0,100.0,1,566.6667
busan,2026-07-02,NO,provable,26°C,0.16,0.0,100.0,1,525.0
busan,2026-07-02,YES,secondary,27°C,0.11,0.9333,100.0,1,809.0909
denver,2026-07-02,YES,secondary,88-89°F,0.2485,1.0,100.0,0,-100.0
jeddah,2026-07-02,YES,secondary,36°C,0.125,0.9333,100.0,1,700.0
lucknow,2026-07-02,NO,provable,32°C,0.295,0.0,100.0,1,238.9831
lucknow,2026-07-02,YES,main,34°C,0.031,1.0,100.0,1,3125.8065
miami,2026-07-03,NO,provable,88-89°F,0.316,0.0,100.0,1,216.4557
miami,2026-07-03,YES,secondary,90-91°F,0.185,1.0,100.0,1,440.5405
amsterdam,2026-07-04,NO,provable,21°C,0.399,0.0,100.0,1,150.6266
amsterdam,2026-07-04,YES,main,23°C,0.056,0.9667,100.0,1,1685.7143
chongqing,2026-07-04,NO,provable,32°C,0.475,0.0,100.0,1,110.5263
chongqing,2026-07-04,YES,secondary,34°C,0.1875,0.9333,100.0,1,433.3333
london,2026-07-04,NO,provable,28°C,0.375,0.0,100.0,1,166.6667
manila,2026-07-04,NO,provable,33°C,0.195,0.0,100.0,1,412.8205
manila,2026-07-04,YES,secondary,34°C,0.195,1.0,100.0,1,412.8205
milan,2026-07-04,YES,secondary,32°C,0.155,0.9333,100.0,1,545.1613
austin,2026-07-05,YES,secondary,94-95°F,0.146,1.0,100.0,1,584.9315
houston,2026-07-05,NO,provable,96-97°F,0.47,0.0,100.0,1,112.766
houston,2026-07-05,YES,main,98-99°F,0.07,0.9667,100.0,1,1328.5714
lucknow,2026-07-05,NO,provable,37°C,0.3,0.0,100.0,1,233.3333
nyc,2026-07-05,YES,secondary,76-77°F,0.194,0.9,100.0,0,-100.0
seattle,2026-07-05,NO,provable,74-75°F,0.335,0.0,100.0,1,198.5075
seattle,2026-07-05,YES,secondary,76-77°F,0.25,0.9667,100.0,1,300.0
atlanta,2026-07-06,NO,provable,88-89°F,0.355,0.0,100.0,1,181.6901
austin,2026-07-06,NO,provable,96-97°F,0.46,0.0,100.0,1,117.3913
austin,2026-07-06,YES,secondary,98-99°F,0.105,1.0,100.0,1,852.381
chongqing,2026-07-06,NO,provable,36°C,0.395,0.0,100.0,1,153.1646
chongqing,2026-07-06,YES,secondary,37°C,0.18,0.9333,100.0,1,455.5556
seattle,2026-07-06,NO,provable,82-83°F,0.44,0.0,100.0,1,127.2727
