city,date,hour,upto_c
nyc,2026-05-25,0,12.778
nyc,2026-05-25,1,12.778
nyc,2026-05-25,2,12.778
nyc,2026-05-25,3,13.333
nyc,2026-05-25,4,13.333
nyc,2026-05-25,5,13.333
nyc,2026-05-25,6,13.333
nyc,2026-05-25,7,13.333
nyc,2026-05-25,8,14.444
nyc,2026-05-25,9,15.0
nyc,2026-05-25,10,16.111
nyc,2026-05-25,11,17.778
nyc,2026-05-25,12,18.333
nyc,2026-05-25,13,19.444
nyc,2026-05-25,14,21.111
nyc,2026-05-25,15,22.778
nyc,2026-05-25,16,23.333
nyc,2026-05-25,17,23.889
nyc,2026-05-25,18,23.889
nyc,2026-05-25,19,23.889
nyc,2026-05-25,20,23.889
nyc,2026-05-25,21,23.889
nyc,2026-05-25,22,23.889
nyc,2026-05-25,23,23.889
nyc,2026-05-26,0,20.0
nyc,2026-05-26,1,20.0
nyc,2026-05-26,2,20.0
nyc,2026-05-26,3,20.0
nyc,2026-05-26,4,20.0
nyc,2026-05-26,5,20.0
nyc,2026-05-26,6,20.0
nyc,2026-05-26,7,20.0
nyc,2026-05-26,8,20.556
nyc,2026-05-26,9,21.667
nyc,2026-05-26,10,22.778
nyc,2026-05-26,11,23.333
nyc,2026-05-26,12,24.444
nyc,2026-05-26,13,25.556
nyc,2026-05-26,14,26.667
nyc,2026-05-26,15,26.667
nyc,2026-05-26,16,26.667
nyc,2026-05-26,17,26.667
nyc,2026-05-26,18,26.667
nyc,2026-05-26,19,26.667
nyc,2026-05-26,20,26.667
nyc,2026-05-26,21,26.667
nyc,2026-05-26,22,26.667
nyc,2026-05-26,23,26.667
nyc,2026-05-27,0,22.222
nyc,2026-05-27,1,22.222
nyc,2026-05-27,2,22.222
nyc,2026-05-27,3,22.222
nyc,2026-05-27,4,22.222
nyc,2026-05-27,5,22.222
nyc,2026-05-27,6,22.222
nyc,2026-05-27,7,22.222
nyc,2026-05-27,8,23.333
nyc,2026-05-27,9,24.444
nyc,2026-05-27,10,24.444
nyc,2026-05-27,11,25.556
nyc,2026-05-27,12,25.556
nyc,2026-05-27,13,25.556
nyc,2026-05-27,14,26.667
nyc,2026-05-27,15,27.778
nyc,2026-05-27,16,28.333
nyc,2026-05-27,17,28.889
nyc,2026-05-27,18,28.889
nyc,2026-05-27,19,28.889
nyc,2026-05-27,20,28.889
nyc,2026-05-27,21,28.889
nyc,2026-05-27,22,28.889
nyc,2026-05-27,23,28.889
nyc,2026-05-28,0,23.333
nyc,2026-05-28,1,23.333
nyc,2026-05-28,2,23.333
nyc,2026-05-28,3,23.333
nyc,2026-05-28,4,23.333
nyc,2026-05-28,5,23.333
nyc,2026-05-28,6,23.333
nyc,2026-05-28,7,23.333
nyc,2026-05-28,8,23.333
nyc,2026-05-28,9,23.333
nyc,2026-05-28,10,23.333
nyc,2026-05-28,11,23.889
nyc,2026-05-28,12,23.889
nyc,2026-05-28,13,23.889
nyc,2026-05-28,14,23.889
nyc,2026-05-28,15,23.889
nyc,2026-05-28,16,23.889
nyc,2026-05-28,17,23.889
nyc,2026-05-28,18,23.889
nyc,2026-05-28,19,23.889
nyc,2026-05-28,20,23.889
nyc,2026-05-28,21,23.889
nyc,2026-05-28,22,23.889
nyc,2026-05-28,23,23.889
nyc,2026-05-29,0,17.222
nyc,2026-05-29,1,17.222
nyc,2026-05-29,2,17.222
nyc,2026-05-29,3,17.222
nyc,2026-05-29,4,17.222
nyc,2026-05-29,5,17.222
nyc,2026-05-29,6,17.222
nyc,2026-05-29,7,17.222
nyc,2026-05-29,8,17.222
nyc,2026-05-29,9,18.333
nyc,2026-05-29,10,20.0
nyc,2026-05-29,11,21.111
nyc,2026-05-29,12,22.222
nyc,2026-05-29,13,23.333
nyc,2026-05-29,14,24.444
nyc,2026-05-29,15,25.0
nyc,2026-05-29,16,25.556
nyc,2026-05-29,17,25.556
nyc,2026-05-29,18,25.556
nyc,2026-05-29,19,25.556
nyc,2026-05-29,20,25.556
nyc,2026-05-29,21,25.556
nyc,2026-05-29,22,25.556
nyc,2026-05-29,23,25.556
nyc,2026-05-30,0,21.111
nyc,2026-05-30,1,21.667
nyc,2026-05-30,2,21.667
nyc,2026-05-30,3,21.667
nyc,2026-05-30,4,21.667
nyc,2026-05-30,5,21.667
nyc,2026-05-30,6,21.667
nyc,2026-05-30,7,21.667
nyc,2026-05-30,8,21.667
nyc,2026-05-30,9,21.667
nyc,2026-05-30,10,21.667
nyc,2026-05-30,11,21.667
nyc,2026-05-30,12,21.667
nyc,2026-05-30,13,21.667
nyc,2026-05-30,14,21.667
nyc,2026-05-30,15,21.667
nyc,2026-05-30,16,21.667
nyc,2026-05-30,17,21.667
nyc,2026-05-30,18,21.667
nyc,2026-05-30,19,21.667
nyc,2026-05-30,20,21.667
nyc,2026-05-30,21,21.667
nyc,2026-05-30,22,21.667
nyc,2026-05-30,23,21.667
nyc,2026-05-31,0,12.778
nyc,2026-05-31,1,13.333
nyc,2026-05-31,2,13.333
nyc,2026-05-31,3,13.333
nyc,2026-05-31,4,13.333
nyc,2026-05-31,5,13.333
nyc,2026-05-31,6,13.333
nyc,2026-05-31,7,13.889
nyc,2026-05-31,8,14.444
nyc,2026-05-31,9,16.667
nyc,2026-05-31,10,19.444
nyc,2026-05-31,11,21.111
nyc,2026-05-31,12,22.778
nyc,2026-05-31,13,22.778
nyc,2026-05-31,14,23.889
nyc,2026-05-31,15,25.0
nyc,2026-05-31,16,25.0
nyc,2026-05-31,17,25.0
nyc,2026-05-31,18,25.0
nyc,2026-05-31,19,25.0
nyc,2026-05-31,20,25.0
nyc,2026-05-31,21,25.0
nyc,2026-05-31,22,25.0
nyc,2026-05-31,23,25.0
nyc,2026-06-01,0,17.222
nyc,2026-06-01,1,17.222
nyc,2026-06-01,2,17.222
nyc,2026-06-01,3,17.222
nyc,2026-06-01,4,17.222
nyc,2026-06-01,5,17.222
nyc,2026-06-01,6,17.222
nyc,2026-06-01,7,17.778
nyc,2026-06-01,8,18.333
nyc,2026-06-01,9,19.444
nyc,2026-06-01,10,20.0
nyc,2026-06-01,11,20.0
nyc,2026-06-01,12,20.0
nyc,2026-06-01,13,20.0
nyc,2026-06-01,14,20.556
nyc,2026-06-01,15,20.556
nyc,2026-06-01,16,20.556
nyc,2026-06-01,17,20.556
nyc,2026-06-01,18,20.556
nyc,2026-06-01,19,20.556
nyc,2026-06-01,20,20.556
nyc,2026-06-01,21,20.556
nyc,2026-06-01,22,20.556
nyc,2026-06-01,23,20.556
nyc,2026-06-02,0,13.333
nyc,2026-06-02,1,13.333
nyc,2026-06-02,2,13.333
nyc,2026-06-02,3,13.333
nyc,2026-06-02,4,13.333
nyc,2026-06-02,5,13.889
nyc,2026-06-02,6,13.889
nyc,2026-06-02,7,15.0
nyc,2026-06-02,8,17.222
nyc,2026-06-02,9,19.444
nyc,2026-06-02,10,21.111
nyc,2026-06-02,11,22.222
nyc,2026-06-02,12,22.778
nyc,2026-06-02,13,23.333
nyc,2026-06-02,14,23.889
nyc,2026-06-02,15,24.444
nyc,2026-06-02,16,24.444
nyc,2026-06-02,17,24.444
nyc,2026-06-02,18,24.444
nyc,2026-06-02,19,24.444
nyc,2026-06-02,20,24.444
nyc,2026-06-02,21,24.444
nyc,2026-06-02,22,24.444
nyc,2026-06-02,23,24.444
nyc,2026-06-03,0,21.111
nyc,2026-06-03,1,21.111
nyc,2026-06-03,2,21.111
nyc,2026-06-03,3,21.111
nyc,2026-06-03,4,21.111
nyc,2026-06-03,5,21.111
nyc,2026-06-03,6,21.111
nyc,2026-06-03,7,21.667
nyc,2026-06-03,8,22.778
nyc,2026-06-03,9,25.0
nyc,2026-06-03,10,25.556
nyc,2026-06-03,11,25.556
nyc,2026-06-03,12,26.667
nyc,2026-06-03,13,27.222
nyc,2026-06-03,14,27.778
nyc,2026-06-03,15,28.333
nyc,2026-06-03,16,28.333
nyc,2026-06-03,17,28.333
nyc,2026-06-03,18,28.333
nyc,2026-06-03,19,28.333
nyc,2026-06-03,20,28.333
nyc,2026-06-03,21,28.333
nyc,2026-06-03,22,28.333
nyc,2026-06-03,23,28.333
nyc,2026-06-04,0,21.667
nyc,2026-06-04,1,21.667
nyc,2026-06-04,2,21.667
nyc,2026-06-04,3,21.667
nyc,2026-06-04,4,21.667
nyc,2026-06-04,5,21.667
nyc,2026-06-04,6,21.667
nyc,2026-06-04,7,21.667
nyc,2026-06-04,8,22.222
nyc,2026-06-04,9,23.889
nyc,2026-06-04,10,25.556
nyc,2026-06-04,11,27.222
nyc,2026-06-04,12,28.889
nyc,2026-06-04,13,29.444
nyc,2026-06-04,14,30.0
nyc,2026-06-04,15,30.0
nyc,2026-06-04,16,30.0
nyc,2026-06-04,17,30.0
nyc,2026-06-04,18,30.0
nyc,2026-06-04,19,30.0
nyc,2026-06-04,20,30.0
nyc,2026-06-04,21,30.0
nyc,2026-06-04,22,30.0
nyc,2026-06-04,23,30.0
nyc,2026-06-05,0,23.333
nyc,2026-06-05,1,23.333
nyc,2026-06-05,2,23.333
nyc,2026-06-05,3,23.333
nyc,2026-06-05,4,23.333
nyc,2026-06-05,5,23.333
nyc,2026-06-05,6,23.333
nyc,2026-06-05,7,23.333
nyc,2026-06-05,8,24.444
nyc,2026-06-05,9,26.667
nyc,2026-06-05,10,27.778
nyc,2026-06-05,11,29.444
nyc,2026-06-05,12,31.111
nyc,2026-06-05,13,31.667
nyc,2026-06-05,14,32.222
nyc,2026-06-05,15,32.222
nyc,2026-06-05,16,32.222
nyc,2026-06-05,17,32.222
nyc,2026-06-05,18,32.222
nyc,2026-06-05,19,32.222
nyc,2026-06-05,20,32.222
nyc,2026-06-05,21,32.222
nyc,2026-06-05,22,32.222
nyc,2026-06-05,23,32.222
nyc,2026-06-06,0,25.556
nyc,2026-06-06,1,25.556
nyc,2026-06-06,2,26.667
nyc,2026-06-06,3,26.667
nyc,2026-06-06,4,26.667
nyc,2026-06-06,5,26.667
nyc,2026-06-06,6,26.667
nyc,2026-06-06,7,26.667
nyc,2026-06-06,8,26.667
nyc,2026-06-06,9,28.889
nyc,2026-06-06,10,30.0
nyc,2026-06-06,11,31.111
nyc,2026-06-06,12,31.111
nyc,2026-06-06,13,32.222
nyc,2026-06-06,14,32.222
nyc,2026-06-06,15,32.778
nyc,2026-06-06,16,32.778
nyc,2026-06-06,17,32.778
nyc,2026-06-06,18,32.778
nyc,2026-06-06,19,32.778
nyc,2026-06-06,20,32.778
nyc,2026-06-06,21,32.778
nyc,2026-06-06,22,32.778
nyc,2026-06-06,23,32.778
nyc,2026-06-07,0,21.667
nyc,2026-06-07,1,21.667
nyc,2026-06-07,2,21.667
nyc,2026-06-07,3,21.667
nyc,2026-06-07,4,21.667
nyc,2026-06-07,5,21.667
nyc,2026-06-07,6,22.222
nyc,2026-06-07,7,23.333
nyc,2026-06-07,8,23.889
nyc,2026-06-07,9,25.556
nyc,2026-06-07,10,26.111
nyc,2026-06-07,11,26.111
nyc,2026-06-07,12,26.667
nyc,2026-06-07,13,26.667
nyc,2026-06-07,14,26.667
nyc,2026-06-07,15,27.222
nyc,2026-06-07,16,27.222
nyc,2026-06-07,17,27.222
nyc,2026-06-07,18,27.222
nyc,2026-06-07,19,27.222
nyc,2026-06-07,20,27.222
nyc,2026-06-07,21,27.222
nyc,2026-06-07,22,27.222
nyc,2026-06-07,23,27.222
nyc,2026-06-08,0,20.0
nyc,2026-06-08,1,20.0
nyc,2026-06-08,2,20.0
nyc,2026-06-08,3,20.0
nyc,2026-06-08,4,20.0
nyc,2026-06-08,5,20.0
nyc,2026-06-08,6,20.0
nyc,2026-06-08,7,20.0
nyc,2026-06-08,8,20.0
nyc,2026-06-08,9,20.556
nyc,2026-06-08,10,20.556
nyc,2026-06-08,11,21.667
nyc,2026-06-08,12,22.778
nyc,2026-06-08,13,23.333
nyc,2026-06-08,14,23.333
nyc,2026-06-08,15,23.333
nyc,2026-06-08,16,23.333
nyc,2026-06-08,17,23.333
nyc,2026-06-08,18,23.333
nyc,2026-06-08,19,23.333
nyc,2026-06-08,20,23.333
nyc,2026-06-08,21,23.333
nyc,2026-06-08,22,23.333
nyc,2026-06-08,23,23.333
nyc,2026-06-09,0,19.444
nyc,2026-06-09,1,19.444
nyc,2026-06-09,2,19.444
nyc,2026-06-09,3,19.444
nyc,2026-06-09,4,19.444
nyc,2026-06-09,5,19.444
nyc,2026-06-09,6,19.444
nyc,2026-06-09,7,20.0
nyc,2026-06-09,8,21.111
nyc,2026-06-09,9,22.222
nyc,2026-06-09,10,23.333
nyc,2026-06-09,11,24.444
nyc,2026-06-09,12,25.556
nyc,2026-06-09,13,26.111
nyc,2026-06-09,14,26.667
nyc,2026-06-09,15,26.667
nyc,2026-06-09,16,26.667
nyc,2026-06-09,17,26.667
nyc,2026-06-09,18,26.667
nyc,2026-06-09,19,26.667
nyc,2026-06-09,20,26.667
nyc,2026-06-09,21,26.667
nyc,2026-06-09,22,26.667
